Data,ID,Name,Class_1,Class_2,Class_3,Unit,Dim,Tick,Palette,ColourKey,Style,Prefix
hm8,OTIM.Q.U1A.iaq,Import prices q/q%,Prices (q/q%),Import,q/q%,%,%,.1f,qual,number,Line,NA
hm8,OTIX.Q.U1A.iay,Export prices y/y%,Prices (y/y%),Export,y/y%,%,%,.1f,qual,number,Line,NA
hm8,OTIM.Q.U1A.iay,Import prices y/y%,Prices (y/y%),Import,y/y%,%,%,.1f,qual,number,Line,NA
hm8,OTIX.Q.U2A.ia,Export volumes Index,Volumes (Index),Export,Index,NA,Index,",d",qual,number,Line,NA
hm8,OTIM.Q.U2A.ia,Import volumes Index,Volumes (Index),Import,Index,NA,Index,",d",qual,number,Line,NA
hm8,OTIX.Q.U2A.isq,Export volumes q/q% s.a.,Volumes (q/q% s.a.),Export,q/q% s.a.,%,%,.1f,qual,number,Line,NA
hm8,OTIM.Q.U2A.isq,Import volumes q/q% s.a.,Volumes (q/q% s.a.),Import,q/q% s.a.,%,%,.1f,qual,number,Line,NA
hm8,OTIX.Q.U2A.iay,Export volumes y/y%,Volumes (y/y%),Export,y/y%,%,%,.1f,qual,number,Line,NA
hm8,OTIM.Q.U2A.iay,Import volumes y/y%,Volumes (y/y%),Import,y/y%,%,%,.1f,qual,number,Line,NA
hm8,OTIX.Q.U2A.is,Export volumes Index s.a.,Volumes (Index s.a.),Export,Index s.a.,NA,Index,",d",qual,number,Line,NA
hm8,OTIM.Q.U2A.is,Import volumes Index s.a.,Volumes (Index s.a.),Import,Index s.a.,NA,Index,",d",qual,number,Line,NA
hm9,HLFS.Q.L05G001.ns,"Labour force participation rate	 - % s.a.",Labour Force % s.a.,Labour force participation rate,% s.a.,%,Total %,.1f,qual,number,Line,NA
hm9,HLFS.Q.L06G001.ns,"Unemployment rate	 - % s.a.",Unemployment % s.a.,Unemployment rate,% s.a.,%,Total %,.1f,qual,number,Line,NA
hm9,HLFS.Q.L04G001.ns,Not in labour force - 000s s.a.,Not in labour force,Not in labour force,000s s.a.,000s,000's,",d",qual,number,Line,NA
hm9,HLFS.Q.L07G001.ns,Working-age population - 000s s.a.,Working-age population,Working-age population,000s s.a.,000s,000's,",d",qual,number,Line,NA
hm9,LCI.Q.W1S0T0.ia,Labour cost index (LCI) - Index,LCI Index,Labour cost index (LCI),Index,Index,Index,",d",qual,number,Line,NA
hm9,LCI.Q.W1S0T0.iay,Labour cost index (LCI) - y/y%,LCI y/y%,Labour cost index (LCI),y/y%,%,%,.1f,qual,number,Line,NA
hm9,HLFS.Q.L04G001.nay,Not in labour force - y/y%,Not in Labour Force y/y%,Not in labour force,y/y%,%,%,.1f,qual,number,Line,NA
hm9,HLFS.Q.L07G001.nay,Working-age population - y/y%,Working-age population %,Working-age population,y/y%,%,Total %,.1f,qual,number,Line,NA
hm9,HLFS.Q.L01G001.nay,Labour force - Employed (y/y%),Employed (y/y%),Labour force,Employed (y/y%),%,Total %,.1f,qual,number,Line,NA
hm9,HLFS.Q.L02G001.nay,Labour force - Unemployed (y/y%),Unemployed (y/y%),Labour force,Unemployed (y/y%),%,Total %,.1f,qual,number,Line,NA
hm9,HLFS.Q.L03G001.nay,Labour force - Total (y/y%),Total (y/y%),Labour force,Total (y/y%),%,Total %,.1f,qual,number,Line,NA
hm9,HLFS.Q.L01G001.ns,Labour force - Employed (000s s.a.),Employed (000s s.a.),Labour force,Employed (000s s.a.),000s,000's,",d",qual,number,Line,NA
hm9,HLFS.Q.L02G001.ns,Labour force - Unemployed (000s s.a.),Unemployed (000s s.a.),Labour force,Unemployed (000s s.a.),000s,000's,",d",qual,number,Line,NA
hm9,HLFS.Q.L03G001.ns,Labour force - Total (000s s.a.),Labour Force (000s s.a.),Labour force,Total (000s s.a.),000s,000's,",d",qual,number,Line,NA
hm9,QESS21.Q.E03S2.na,Private sector wages - $,Private sector wages $,Private sector wages,$,NA,$,",d",qual,number,Line,NA
hm9,QESS21.Q.E03S2.naq,Private sector wages - q/q%,Private sector wages - q/q%,Private sector wages,q/q%,%,%,.1f,qual,number,Line,NA
hm9,QESS21.Q.E03S2.nay,Private sector wages - y/y%,Private sector wages - y/y%,Private sector wages,y/y%,%,%,.1f,qual,number,Line,NA
hm9,QESS21.Q.E03S1.na,Public sector wages - $,Public sector wages - $,Public sector wages,$,NA,$,",d",qual,number,Line,NA
hm9,QESS21.Q.E03S1.naq,Public sector wages - q/q%,Public sector wages - q/q%,Public sector wages,q/q%,%,%,.1f,qual,number,Line,NA
hm9,QESS21.Q.E03S1.nay,Public sector wages - y/y%,Public sector wages - y/y%,Public sector wages,y/y%,%,%,.1f,qual,number,Line,NA
hm9,QESS21.Q.E03S0.na,"Average hourly earnings (ordinary time and overtime)	 - $",Hourly Earnings $,Average hourly earnings (ordinary time and overtime),$,NA,$,",d",qual,number,Line,NA
hm9,QESS21.Q.E03S0.naq,"Average hourly earnings (ordinary time and overtime)	 - q/q%",Hourly Earnings q/q%,Average hourly earnings (ordinary time and overtime),q/q%,%,%,.1f,qual,number,Line,NA
hm9,QESS21.Q.E03S0.nay,"Average hourly earnings (ordinary time and overtime)	 - y/y%",Hourly Earnings y/y%,Average hourly earnings (ordinary time and overtime),y/y%,%,%,.1f,qual,number,Line,NA
hm10,QVB.Q.MR0H01.na,House sales,NA,House sales,NA,no,no,",d",qual,navyspread,Line,NA
hm10,HPI.Q.H01T0.ia,House price index (HPI),NA,House price index (HPI),NA,Index,Index,",d",qual,navyspread,Line,NA
hm10,HHAL.QC1,Total value of housing stock,NA,Total value of housing stock,NA,NZDm,NZDm,",d",qual,navyspread,Line,NA
hm10,GDE.Q.EI24.RA,Residential investment (GDP),NA,Residential investment (GDP),NA,NZDm(r),NZDm (r.),",d",qual,navyspread,Line,NA
hm14,SOE.Q.E100.na,Perception of monetary conditions (net) - End of current quarter,Perception of monetary conditions (net) - End of current quarter,Perception of monetary conditions (net),NA,%,Total %,.2f,qual,navyspread,Line,NA
hm14,SOE.Q.E101.na,Perception of monetary conditions (net) - Next quarter,Perception of monetary conditions (net) - Next quarter,Perception of monetary conditions (net),NA,%,Total %,.2f,qual,navyspread,Line,NA
